Если владелец одобрил черновик правки скила прямо в чате, могу ли я сразу перезаписать этим текстом живой файл скила?	Нет: одобрение относится только к показанному черновику в чате, а запись в tracked owner требует отдельного явного owner-gate на запись.	2026-08-09-153733-codex-019fe619.md#L21	решение
Чем ценен хороший агент-критик и что он должен выдавать как результат?	Не приговор работе, а альтернативы: крайняя критичность провоцирует генерацию вариантов и рекомендаций, и в этом его продукт.	2026-04-28-111714-claude-74356077.md#L24	критерий
О чём агент обязан помнить, когда подключает панель критикующих субагентов?	Что экстракритики способны испортить уже хорошую работу, поэтому относиться к ним надо аккуратно — такое предупреждение прямо велено зашить в скил свежих глаз.	2026-04-28-111714-claude-74356077.md#L22	решение
Когда мне обращаться к корпусу цитат владельца без его прямого запроса?	Проактивно, как к ещё одному источнику важного контекста для текущей задачи, не дожидаясь вопроса в духе «а что я говорил».	2026-07-29-000000-claude-a9f0f34a.md#L19	коррекция
По какой схеме собирается пакет скила: что живёт в теле, а что в референсах?	Тело держат коротким роутером, а содержательные детали выносят в референс-файлы — это заявленная лучшая практика архитектуры скилов.	2026-08-02-172116-codex-019fc250.md#L16	решение
Какие рамки действуют при сжатии скила и допустим ли полный перезапись текста?	Предел объёма — 2000 символов вместо первых названных 1000, потери смыслов заранее приняты как ожидаемые, но минимизируются лучшими методами; при кратном сжатии допустима полная пересборка с нуля от главных функций, а не только удаление.	2026-08-06-215508-claude-224b8c51.md#L31, 2026-08-06-215508-claude-224b8c51.md#L26	коррекция, решение
На каких скилах разрешено ставить эксперименты по сокращению?	Только на экспертных линзах — они постоянные подопытные; переписывать хорошие рабочие скилы ради прогона нельзя, такой выбор останавливается и перенаправляется.	2026-08-06-215508-claude-224b8c51.md#L22	правило-кандидат
В каких ситуациях должен включаться скил чтения маркдауна 1md-read?	Ситуативно, а не широкой активацией: когда в проекте много маркдаун-файлов или надо прочитать несколько сразу — то есть когда быстрое чтение реально нужно задаче.	2026-08-09-153733-codex-019fe619.md#L20	коррекция
Как устроен цикл 1smart-simple и в какой момент он вправе изменить исходный текст?	Сам он изменений не вносит: выделяет суть любого текста до 200 символов, спрашивает подтверждение сути, предлагает три варианта расширения начиная с самого важного вырезанного — и лишь после финального одобрения владельца заменяет оригинал короткой утверждённой версией.	2026-08-10-184723-codex-019febdf.md#L18, 2026-08-10-184723-codex-019febdf.md#L20	решение, решение
Какие требования предъявляются к исследовательским документам и их источникам?	Отчёт или гайд должны быть датированы, а использованные источники — не старше шести месяцев на дату задачи.	2026-08-11-190024-codex-019ff11f.md#L17	критерий
Как писать описания скилов, чтобы те срабатывали без явной просьбы?	Описание проектируется как семантический фазовый триггер — скил должен сам вызываться, когда агент вошёл в относящуюся к нему часть работы; это дефолт авторинга каждого скила, а hook лишь запасной механизм.	2026-08-11-190024-codex-019ff11f.md#L20	критерий
Что обязано появиться в чате после работы бизнес-аналитика?	Наблюдаемый след: доказательство, что методологии бизнес-анализа были продуманы, а не молчаливо встроенный в работу вердикт.	2026-08-14-211521-claude-bed3795b.md#L18	решение
Чем бизнес-аналитик обосновывает прогнозы о будущем, если данных в проекте нет?	Только грамотно расписанной логической цепочкой без внутренних противоречий: опора на файлы или реальность здесь практически невозможна.	2026-08-19-142942-codex-01a01956.md#L21	коррекция
В каком формате субагенты-поисковики отчитываются по цитатам и что вообще доказывает позицию владельца?	Отчёт — путь файла плюс одно предложение о связи с текущим тезисом либо явное «ничего не найдено» или blocker, без цитат и пересказа; позицию владельца доказывает только его текст, который главный агент сам прочитал от первой до последней строки.	2026-08-20-235300-codex-01a02084.md#L19	решение
Каким должен быть жанр корневых инструкций этого проекта?	Коротко в части изменения поведения, но полно в части сухих справочных данных: информация помогает ориентироваться и не должна ломать когнитивные привычки агента.	2026-08-22-140751-claude-acfa042e.md#L21	решение
