cli-tools	method/what-goes-into-1cli-tools-body.md	смешано	одна страница отвечает на два разных вопроса — форма тела (компактное тело + reference-файлы) и критерии основного текста, которые будут искать порознь
global-agent-instructions	—	потеряно	из факта 068dc13d#L15 не попало ни на одну страницу: глобальная инструкцияClaude должна говорить о владельце и о том, чего агент не знает, и формулировать желаемый результат вместо перечисления известных агенту способов работы (на страницах остался только хвост «до самого важного»)
goals-plans-principles	—	потеряно	критерий для 1use-principles «конфликтующие, но корректные принципы учитывать одновременно и искать решение, не нарушающее ни один из них» не попал ни на одну страницу
goals-plans-principles	—	потеряно	поправка смысла глобальной корневой инструкции Codex «самостоятельные решения выводить из реально существующих Product Principles» не попала ни на одну страницу
goals-plans-principles	concept/agent-autonomy-and-owner-review.md	смешано	на странице о границах автономии агента размещён ответ на другой вопрос — метод оценки скилов владельцем (отказ от синтетических прогонов в пользу живых проектов)
hermes	method/delegating-to-subagents.md	смешано	кроме делегирования страница закрывает вопрос о ролях субагентов (весь конфликт «Не разрешено») и вопрос маршрута к документации Hermes, вложенный в «требования к внешнему агенту»
html-artifacts	entity/react-flow-in-artifacts.md	разрезано	ответ на вопрос о требованиях к React Flow разбит: требование лёгкой сменяемости содержимого нод лежит не на React Flow-странице, а на странице про раскрытие информации
orchestration-waves	—	потеряно	критерий исследования long-horizon orchestration: за последние полгода наиболее рабочие методы для больших задач по исследованиям и репозиториям с большим числом звёзд, одобренным реальной практикой
semantic-compression	—	потеряно	факт «не включать слепой замер в скилл и считать приёмку обоснованием того, что выполнение цели подразумевает выполнение процедур старой версии» не попал ни на одну страницу
skill-routing	entity/skill-audit-disable-and-auto-invoke-list.md	смешано	страница аудита скиллов отвечает ещё и на другой вопрос — «вызывать ли субагентов сейчас» (блок «Смежное решение»)
