claim_id	question_id	artifact_ref	modality	locator_type	locator	capture_ref	source_strength	source_role	text_excerpt	notes
MAVO-GATE-001	MAVO-VALIDITY-00	../../../cases/mavo-short/inputs/intent.draft.md	markdown	line_range	1-40		self_canon	context	Owner intent exists but is a draft.	Closure must carry needs-owner-approval.
MAVO-GATE-002	MAVO-VALIDITY-00	../../../cases/mavo-short/inputs/criteria.draft.md	markdown	line_range	1-20		self_canon	context	Criteria exist but are a draft.	Closure must carry needs-owner-approval.
MAVO-GATE-003	MAVO-VALIDITY-00	/Users/triton/Documents/mavo-short/_ops/GOAL.md	markdown	line_range	12-14		self_canon	current_scope	Current model is SaaS-vitrine with paid Принять; future gallery/marketplace/commission are outside current canon.	Validates current/future boundary for all tests.
MAVO-GATE-004	MAVO-VALIDITY-00	/Users/triton/Documents/mavo-short/_ops/GOAL.md	markdown	line_range	34-42		self_canon	current_scope	Core says buyer pays studio directly and MAVO is not cashier/seller.	Validates actor and money boundary.
MAVO-BUYER-001	MAVO-BUYER-02	/Users/triton/Documents/mavo-short/01_Описание_бизнеса/03_Как_это_работает/_Путь_покупателя.md	markdown	line_range	31-37		self_canon	claim_anchor	Buyer submits; studio decides Принять; after Принять studio invoices/payment/production are external.	Corrects v0 invalid actor wording.
MAVO-BUYER-002	MAVO-BUYER-02	/Users/triton/Documents/mavo-short/01_Описание_бизнеса/03_Как_это_работает/_Путь_покупателя.md	markdown	line_range	94-103		self_canon	claim_anchor	Buyer pays studio; studio pays MAVO; no valid Принять means no paid MAVO line.	Supports chain but not buyer willingness proof.
MAVO-BUYER-003	MAVO-BUYER-02	/Users/triton/Documents/mavo-short/Бизнес_Анализ/Проверка_пилота.md	markdown	line_range	16-25		self_canon	reality_protocol	Pilot must prove buyer submits, studio accepts/rejects, money works, channel/trust/layer work.	Reality remains planned, not observed.
MAVO-BUYER-004	MAVO-BUYER-02	/Users/triton/Documents/mavo-short/Бизнес_Анализ/Проверка_пилота.md	markdown	line_range	87-99		self_canon	reality_protocol	Demand proof requires the whole short path, not just Отправить заявку.	Primary funnel evidence is absent in this run.
MAVO-PROFIT-001	MAVO-PROFIT-01	/Users/triton/Documents/mavo-short/Бизнес_Анализ/Ставка_MAVO.md	markdown	line_range	46-54		self_canon	claim_anchor	Paid Принять, trust, SKU factory, economics and defense are hypotheses/deductions, not facts.	Prevents promoting canon decision to measured truth.
MAVO-PROFIT-002	MAVO-PROFIT-01	/Users/triton/Documents/mavo-short/Бизнес_Анализ/Расчёт_прибыли.md	markdown	line_range	52-57		self_canon	decision_ground	V, A, and B cost buckets are not quantified.	Weak decision ground; deterministic check should warn.
MAVO-PROFIT-003	MAVO-PROFIT-01	/Users/triton/Documents/mavo-short/Бизнес_Анализ/Расчёт_прибыли.md	markdown	line_range	83-89		self_canon	decision_ground	Break-even examples depend on assumption V+A+B <= 40% of fee.	Arithmetic shape exists, assumption unmeasured.
MAVO-PROFIT-004	MAVO-PROFIT-01	/Users/triton/Documents/mavo-short/Бизнес_Анализ/Ставка_MAVO.md	markdown	line_range	72-76		self_canon	defeater_anchor	No pessimistic unit table; fee pass-through unproved; Kaspi/free substitutes not answered.	This was missed by v0 profit synthesis.
MAVO-PROFIT-005	MAVO-PROFIT-01	/Users/triton/Documents/mavo-short/Бизнес_Анализ/Проверка_пилота.md	markdown	line_range	45-58		self_canon	reality_protocol	Minimum pilot sample and economic sample are defined as future validation gates.	No observed sample in this run.
